ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
223,53,28,76,92419,3,4.0,2,572,0,0,0,1,0
224,31,7,196,95272,1,3.9,2,0,1,0,1,1,1
225,54,31,99,93082,4,3.9,3,540,1,0,0,1,0
226,36,14,92,93965,3,4.7,1,135,0,0,0,1,1
227,58,37,88,91818,3,3.8,1,283,0,0,0,1,0
228,48,24,131,92445,4,4.8,3,528,1,0,0,1,0
229,47,27,113,95742,1,3.6,2,451,1,0,0,0,0
230,30,9,88,91364,2,4.4,1,0,0,0,0,0,1
231,43,23,83,92564,1,2.2,1,0,0,0,0,1,1
232,60,38,80,94751,2,3.9,1,0,0,0,0,0,0
233,23,2,71,92042,2,2.0,1,498,1,0,0,1,0
234,56,35,37,94777,2,1.6,2,120,0,0,0,0,0
235,44,22,97,92431,3,4.8,2,360,0,0,0,0,0
236,54,29,54,93167,2,1.8,2,322,0,0,0,1,1
237,52,29,67,96147,1,1.6,1,0,0,1,0,1,0
238,42,18,117,94604,1,1.4,2,284,0,0,0,0,1
239,36,11,72,95693,3,3.2,1,97,0,0,0,1,0
240,50,25,69,91238,3,2.5,1,0,0,0,0,1,0
241,29,7,80,95175,4,1.7,2,0,0,1,0,0,0
242,48,23,62,93283,4,3.0,1,386,0,0,1,1,0
243,27,2,194,94749,1,9.7,3,0,1,0,0,1,1
244,51,26,180,92015,3,8.7,2,0,1,0,0,1,1
245,50,28,177,94538,1,6.4,1,0,1,1,0,0,0
246,26,5,88,96148,1,4.6,1,0,0,0,0,1,0
247,56,33,52,93083,4,2.5,1,0,0,0,0,0,0
248,41,16,118,92630,2,1.7,1,0,0,0,0,1,0
249,57,32,63,93268,4,3.3,3,455,0,0,0,0,0
250,24,1,124,91274,1,4.2,2,0,1,0,0,1,0
251,30,10,51,93481,3,2.5,3,0,0,0,0,1,0
252,44,22,91,91215,2,3.9,2,0,0,0,0,1,1
253,31,7,133,94289,4,5.1,3,0,0,0,0,1,0
254,37,14,64,96172,3,1.5,3,0,0,0,0,1,1
255,52,30,64,94727,4,0.7,1,0,0,0,0,0,1
256,29,7,32,96195,2,0.7,1,0,0,0,0,1,0
257,52,32,52,92725,4,2.1,1,0,0,0,0,0,0
258,27,6,87,94958,4,4.1,1,0,1,0,0,0,0
259,30,6,94,93482,4,0.9,2,0,0,0,0,0,0
260,48,27,102,92979,2,1.9,1,0,0,0,0,0,0
261,57,32,25,93919,4,1.0,3,121,0,0,0,1,0
262,30,10,63,94127,3,1.4,1,0,0,0,0,0,1
263,36,13,34,90309,1,0.5,3,0,1,0,0,0,1
264,63,41,85,94351,4,1.2,1,0,0,0,1,1,0
265,66,42,29,93261,1,1.1,1,531,0,0,0,0,0
266,48,23,39,90808,3,1.4,3,412,0,0,0,0,0
267,42,19,112,91111,1,5.3,2,294,0,0,0,0,0
268,38,15,55,90891,4,1.3,3,489,0,0,0,1,0
269,49,25,147,95098,3,2.3,3,0,0,0,0,1,1
270,49,26,103,92442,4,4.6,1,0,0,0,0,0,0
271,35,14,65,92674,3,3.4,1,0,0,0,0,0,0
272,24,2,121,92323,3,3.1,1,0,0,0,0,1,0
273,29,8,68,94505,4,3.2,1,0,0,0,0,1,0
274,65,43,108,92902,2,4.6,3,0,1,0,0,1,1
275,41,18,50,96141,3,2.5,3,0,0,0,0,0,0
276,44,23,125,91877,2,3.5,1,0,0,0,0,1,0
277,43,22,30,95899,1,0.4,2,0,0,0,0,0,0
278,57,33,39,93831,4,0.6,3,0,0,0,0,1,0
279,25,3,43,93967,2,1.9,1,464,0,0,0,1,0
280,26,5,53,94680,1,2.5,1,0,0,1,0,1,0
281,35,11,89,95428,4,2.7,3,0,0,1,0,1,0
282,44,20,74,95402,4,0.9,3,0,0,0,1,1,1
283,52,28,109,95537,3,1.4,1,0,0,0,0,0,0
284,44,20,134,92538,2,4.8,2,0,0,0,0,1,1
285,42,17,28,94835,4,1.4,1,0,0,0,0,1,0
286,64,41,143,91810,3,3.9,2,137,1,1,0,1,1
287,30,9,67,93042,2,2.6,2,392,1,0,0,1,0
288,48,23,175,90930,2,5.9,1,0,0,1,0,1,1
289,46,25,49,92672,4,2.4,3,0,0,0,0,1,0
290,43,22,24,93473,4,1.1,2,0,0,0,0,0,1
291,58,34,104,95175,3,1.9,3,481,1,0,0,1,1
292,34,9,100,90236,1,3.9,2,469,1,0,0,0,1
293,64,42,40,93709,1,1.9,2,438,0,0,0,1,0
294,37,13,42,95316,2,2.1,1,0,0,0,0,1,1
295,46,21,113,94812,3,4.0,1,0,0,0,0,1,0
296,45,21,91,92957,4,1.6,3,533,0,1,0,1,0
297,60,40,63,92541,4,2.2,2,0,1,0,0,1,0
298,42,19,96,93776,2,3.7,1,0,0,0,0,0,1
299,35,14,86,94363,1,1.9,3,0,0,0,0,1,1
300,23,0,45,92480,2,2.3,3,225,0,0,0,1,0
301,39,19,118,93379,1,2.4,1,0,0,0,0,0,0
302,59,34,106,90022,4,5.2,1,0,0,0,0,1,1
303,23,2,75,91969,1,2.1,2,284,0,0,0,0,1
304,62,40,113,94890,4,1.1,1,275,0,1,0,0,0
305,46,25,187,92571,3,6.3,3,0,1,0,0,1,1
306,29,5,42,92937,1,1.6,2,0,0,0,0,1,0
307,36,14,65,95819,3,3.1,1,0,0,0,0,0,0
308,47,23,67,92520,3,2.2,2,0,0,0,0,1,0
309,36,16,112,92706,1,1.6,1,232,0,0,0,1,0
310,27,5,53,94705,1,2.7,2,0,0,0,0,1,0
311,52,27,109,95242,2,3.8,1,0,0,0,0,1,0
312,52,27,56,92154,1,1.2,3,0,0,0,1,0,0
313,28,7,39,91090,3,1.9,3,284,0,0,0,0,1
314,35,13,78,94014,3,1.2,3,0,0,0,0,0,0
315,33,11,56,90638,1,0.8,1,0,0,0,0,1,0
316,52,29,82,94499,1,2.7,1,596,0,0,0,0,0
317,55,32,92,92988,3,3.4,3,0,0,0,0,0,0
318,54,34,29,96091,2,0.9,1,0,0,0,0,1,0
319,64,40,59,91860,2,3.0,1,0,0,0,0,0,0
320,56,35,78,94764,2,1.7,3,555,0,0,0,0,0
321,37,16,114,90019,1,6.0,3,441,1,0,0,1,0
322,27,2,106,90146,4,1.1,3,0,0,0,0,1,1
323,50,26,47,92778,4,0.7,1,0,0,0,0,1,1
324,63,41,68,93874,3,1.2,2,522,0,0,1,1,0
325,65,40,95,91033,2,1.3,2,214,0,0,0,1,0
326,33,11,66,93820,1,1.9,2,0,0,0,0,1,0
327,33,10,49,94120,2,2.3,1,0,0,0,0,1,0
328,24,3,73,90764,4,3.3,3,157,0,0,0,0,0
329,29,8,90,95348,1,3.8,1,0,0,0,0,0,0
330,47,25,44,94651,4,0.5,2,0,0,0,0,1,0
331,47,24,100,92064,2,4.8,3,370,1,0,1,1,0
332,39,15,80,92323,2,2.2,3,243,0,0,0,0,0
333,36,14,102,91685,4,4.3,1,0,1,0,0,1,1
334,59,34,72,93867,4,3.0,2,0,0,0,0,0,0
335,43,20,172,94240,4,3.0,2,0,0,0,0,1,0
336,58,38,89,91664,2,2.9,1,0,0,0,0,0,1
337,65,41,109,93389,3,5.5,1,0,0,0,0,1,0
338,36,13,100,91098,2,2.1,2,0,0,0,0,0,1
339,31,9,68,92553,1,2.8,3,0,0,0,0,1,1
340,64,42,85,92455,2,4.4,3,0,0,0,0,1,1
341,50,29,54,92346,1,1.4,1,0,0,0,0,1,0
342,35,12,165,91279,1,4.4,1,387,1,0,0,1,1
343,50,27,95,90145,3,2.8,1,0,1,0,0,1,0
344,45,23,48,96117,3,2.2,3,0,0,1,0,1,0
345,62,41,146,92504,2,4.2,3,0,1,0,0,1,0
346,34,12,70,94506,3,2.2,3,83,0,0,0,1,0
347,66,44,117,95344,4,2.3,2,0,0,0,0,1,0
348,64,42,29,90232,4,1.5,1,0,0,0,0,1,0
349,30,9,132,92469,3,6.4,2,192,1,0,0,1,1
350,30,7,93,92383,1,3.3,1,0,0,0,0,1,0
351,46,25,46,93936,3,2.4,1,0,0,0,0,1,0
352,24,1,92,95659,1,3.7,1,0,0,0,0,1,0
353,36,16,157,94195,1,8.1,1,0,1,0,0,1,0
354,42,20,55,93693,2,0.9,1,0,0,0,0,1,1
355,65,41,54,91407,2,1.1,3,259,0,1,0,1,0
356,66,42,67,93006,1,3.2,3,0,0,0,0,1,1
357,29,5,77,94595,1,2.2,3,0,0,0,0,0,0
358,62,38,121,93329,4,3.2,1,374,1,0,0,0,0
359,27,7,95,93773,3,4.1,3,0,0,0,0,1,1
360,55,33,67,91884,3,2.5,1,0,0,0,0,1,1
361,60,37,87,92897,1,2.2,1,0,0,0,0,1,1
362,62,38,170,92407,4,4.6,1,0,0,0,0,1,1
363,32,9,104,93066,2,2.9,1,0,0,0,0,0,0
364,62,37,71,91221,3,1.1,3,0,0,1,0,0,0
365,28,7,66,94016,2,1.3,3,0,0,0,0,1,1
366,45,25,84,94405,1,2.8,1,0,0,0,0,0,1
367,43,23,120,94708,2,5.3,2,0,1,0,1,0,0
368,36,13,50,91466,1,1.4,1,0,0,0,0,0,1
369,23,0,111,92602,4,3.0,1,0,1,0,0,1,0
370,56,35,70,92633,2,2.7,2,0,0,0,1,0,1
371,37,13,76,95461,4,1.3,3,0,0,0,0,1,0
372,52,28,241,95745,4,6.4,3,149,1,0,0,1,0
373,41,19,106,92968,1,2.0,1,274,0,0,0,1,1
374,39,18,57,92516,2,2.2,2,470,0,0,0,1,0
375,61,37,92,90136,1,1.4,1,0,0,0,0,1,0
376,27,3,123,92089,1,3.6,1,0,0,0,0,1,1
377,55,34,106,90435,4,3.8,1,0,0,1,0,0,0
378,55,34,22,92620,3,1.0,1,0,0,0,0,1,0
379,39,17,74,92397,2,3.1,1,554,0,0,0,0,0
380,34,11,95,91544,1,4.8,1,0,0,0,0,1,1
381,23,3,91,96051,3,3.6,2,252,0,0,0,1,0
382,64,39,59,94541,3,1.5,1,0,0,0,0,1,1
383,64,42,107,93982,1,2.1,1,56,0,0,0,0,1
384,33,11,132,94207,1,1.6,3,444,0,0,0,1,1
385,24,4,30,92140,2,0.7,3,125,0,0,0,0,0
386,28,3,28,91566,3,0.4,1,0,1,0,1,1,1
387,25,4,92,95270,4,2.4,1,213,0,0,0,0,1
388,59,34,112,92605,2,4.5,1,0,1,0,0,1,0
389,62,40,55,94425,1,2.2,3,0,0,0,0,0,0
390,29,4,23,93297,4,0.5,1,0,0,0,0,0,0
391,55,34,75,90130,2,2.4,1,511,0,0,0,0,0
392,30,10,91,95378,3,1.8,3,0,0,0,0,1,1
393,39,15,64,90123,1,2.0,3,545,0,0,0,1,0
394,49,25,125,92079,1,4.0,1,0,1,0,0,1,1
395,54,31,88,94668,1,2.0,1,0,0,0,0,0,1
396,61,41,52,93585,4,1.1,1,0,0,1,0,1,1
397,24,0,54,95111,1,2.8,1,54,0,0,0,1,0
398,31,9,76,95827,4,2.5,1,0,0,0,0,1,1
399,35,10,62,94407,4,2.1,3,0,0,0,0,1,0
400,36,11,28,91618,3,0.3,3,513,0,0,0,0,0
401,66,41,85,90022,4,1.5,2,0,0,0,0,0,0
402,57,33,55,94515,4,1.4,2,0,0,0,0,1,0
403,37,13,60,91975,3,3.1,2,0,0,0,0,0,1
404,65,42,42,94062,4,0.7,1,0,0,0,0,0,1
405,44,24,159,93163,3,3.7,3,361,1,0,0,0,1
406,45,23,102,90927,1,5.4,1,460,1,0,0,1,1
407,42,18,179,92262,1,5.5,1,0,1,1,0,0,1
408,29,5,64,96105,2,1.5,1,0,0,1,0,0,1
409,64,41,105,91995,2,3.9,3,237,0,0,0,0,0
410,23,0,85,94850,2,2.7,2,0,0,0,0,0,0
411,30,10,53,94322,1,2.7,2,0,0,0,0,1,0
412,33,11,64,92657,3,0.9,2,303,0,0,0,1,0
413,35,12,102,94707,2,4.5,3,156,1,0,0,1,1
414,28,3,42,93470,4,0.9,1,0,0,0,0,1,1
415,23,2,125,93861,4,5.6,1,0,1,0,0,0,0
416,52,31,82,92237,3,3.8,3,0,0,0,0,0,0
417,65,43,117,95838,4,5.5,2,234,0,0,0,1,1
418,28,7,92,91622,2,4.4,2,0,0,0,0,1,0
419,36,13,30,93327,4,1.2,1,0,0,0,0,0,0
420,45,22,74,95556,4,1.2,3,0,0,1,0,1,0
421,63,39,127,94402,1,1.6,1,0,0,0,0,1,0
422,53,28,81,93627,3,2.0,3,179,1,0,0,0,1
423,56,36,75,90501,2,2.4,3,0,0,0,0,1,0
424,48,27,81,92290,2,1.9,3,0,0,0,1,0,1
425,41,20,26,92779,2,1.1,1,76,0,0,0,0,0
426,31,10,133,95278,4,5.5,2,0,1,1,0,0,1
427,61,37,20,95299,4,1.0,1,0,0,0,0,1,0
428,58,38,148,92742,2,4.0,1,122,0,0,0,1,1
429,24,4,62,92203,2,2.7,1,52,0,0,0,1,0
430,54,29,95,91145,3,4.0,1,0,0,0,0,1,0
431,26,1,25,92965,3,1.3,1,0,0,0,0,1,0
432,55,34,111,90945,2,4.8,2,0,1,0,0,0,0
433,59,38,101,91031,2,2.3,1,0,0,0,0,1,0
434,28,5,98,95833,4,1.0,1,505,1,0,1,0,0
435,42,19,25,93336,2,1.3,1,0,0,0,0,0,0
436,28,3,49,92370,2,2.0,2,0,0,0,0,1,1
437,47,25,92,92612,2,4.2,1,309,1,0,0,1,0
438,63,43,131,92451,2,5.8,3,147,1,1,0,1,0
439,26,4,45,95208,3,1.9,1,0,0,0,0,0,0
440,40,17,46,93333,3,2.0,2,0,0,0,0,1,1
441,65,42,89,93998,1,4.5,3,0,0,0,0,1,0
442,36,13,230,93573,4,11.4,2,0,1,1,0,0,0
443,28,3,53,93495,2,1.4,2,226,0,0,0,1,0
444,44,20,61,92679,1,0.7,3,502,0,0,0,1,0
445,45,24,57,94764,3,0.7,1,0,0,0,0,1,0
446,52,30,70,95802,1,2.1,1,0,0,0,0,1,1
447,36,12,137,92136,4,6.3,3,506,1,0,0,0,1
